num_nodes_and_roles,scenario,elapsed_time,bytes_transferred
1,worst_case,5.154721878858574e-05,36
2,worst_case,0.0008097351189836114,84
3,worst_case,0.0013784613872073461,144
4,worst_case,0.003516817536159008,216
5,worst_case,0.003978352899087274,300
6,worst_case,0.008680756467383751,396
7,worst_case,0.007594168405105156,504
8,worst_case,0.010235024594168064,624
9,worst_case,0.013152733726525964,756
10,worst_case,0.01848394508958122,900
11,worst_case,0.020241329740731145,1056
12,worst_case,0.028886924860199503,1224
13,worst_case,0.03176537617692371,1404
14,worst_case,0.04766718111473761,1596
10,best_case,0.01843581159389121,900
20,best_case,0.07212616574376662,3000
30,best_case,0.12803509853541034,6300
40,best_case,0.22714606262884673,10800
50,best_case,0.3569856551941675,16500
60,best_case,0.5764911227837684,23400
70,best_case,0.678559053825196,31500
80,best_case,0.9958366233089699,40800
90,best_case,1.1359702978780635,51300
100,best_case,1.3930629050169099,63000
